Place	Bib	NAME College	College	Rank	Swim	Rank	T1	Rank	Bike	Rank	T2	Rank	RUN	Penalty	TIME	DQ
1.	3	Christopher Douglas	GEORGIA TECH	2	5:34	4	0:27	1	30:02	5	0:33	2	17:01	 	53:34	 
2.	32	Kyle Boykin	GEORGIA TECH	10	6:13	1	0:22	2	32:11	12	0:42	3	17:11	 	56:37	 
3.	7	Brian Duffy	GEORGIA SOUTHERN UNIVERSITY	5	6:01	5	0:30	4	33:17	4	0:31	6	18:11	 	58:28	 
4.	13	Erik Wendt	CLEMSON UNIVERSITY	17	6:43	8	0:33	6	34:04	20	0:47	1	16:56	 	59:01	 
5.	2	Andrew Wrist	UNIVERSITY OF ALABAMA	1	5:20	6	0:31	9	34:37	29	0:54	5	17:51	 	59:11	 
6.	33	Marc Leber	GEORGIA TECH	23	7:14	2	0:26	3	33:13	11	0:41	8	18:25	 	59:58	 
7.	23	Bryful Sun	GEORGIA TECH	8	6:09	12	0:34	8	34:32	23	0:48	11	18:52	 	1:00:52	 
8.	28	Jacob Houser	UNIVERSITY OF TENNESSEE	12	6:19	24	0:47	7	34:11	27	0:50	18	20:16	 	1:02:20	 
9.	45	Daniel Dey	CLEMSON UNIVERSITY	34	7:57	22	0:43	14	35:41	19	0:47	4	17:45	 	1:02:51	 
10.	29	Aidan Rogers	UNIVERSITY OF GEORGIA	16	6:42	3	0:26	19	36:50	3	0:31	9	18:31	 	1:02:58	 
11.	48	Daniel Barrundia	GEORGIA TECH	19	6:47	10	0:34	11	34:59	22	0:48	17	20:12	 	1:03:18	 
12.	44	Florian Hauer	GEORGIA TECH	31	7:42	17	0:37	13	35:30	18	0:46	10	18:50	 	1:03:23	 
13.	24	Wyatt Nicholson	EMMANUEL COLLEGE	7	6:08	16	0:37	15	36:05	9	0:40	16	19:59	 	1:03:27	 
14.	41	Haynes Curtis	UNIVERSITY OF GEORGIA	18	6:45	27	0:49	5	33:47	13	0:43	27	21:40	 	1:03:41	 
15.	61	Tahir Savasir	GEORGIA TECH	39	8:12	18	0:38	16	36:17	28	0:51	12	19:02	 	1:04:58	 
16.	26	Aaron Darnton	GEORGIA TECH	15	6:30	13	0:36	12	35:13	15	0:43	30	22:10	 	1:05:10	 
17.	60	Bradley Thomas	GEORGIA TECH	35	7:59	15	0:36	21	37:26	32	0:58	7	18:19	 	1:05:16	 
18.	77	Bradley Blaho	GEORGIA TECH	40	8:29	21	0:43	18	36:32	41	1:22	13	19:12	 	1:06:15	 
19.	42	Nicholas Anderson	GEORGIA TECH	27	7:34	11	0:34	10	34:42	6	0:33	36	23:15	 	1:06:36	 
20.	34	John Langley	UNIVERSITY OF ALABAMA	21	7:06	7	0:32	25	38:03	7	0:34	20	20:50	 	1:07:03	 
21.	19	Sam Hendricks	UNIVERSITY OF GEORGIA	14	6:22	20	0:41	26	38:16	35	1:00	25	21:15	 	1:07:33	 
22.	35	Ryan Williamson	CLEMSON UNIVERSITY	48	10:23	29	1:03	17	36:31	30	0:54	14	19:50	 	1:08:39	 
23.	25	Robby Bustamante	UNIVERSITY OF ALABAMA	30	7:38	41	1:52	23	37:42	10	0:40	23	21:13	 	1:09:03	 
24.	59	Scott Lynch	GEORGIA TECH	41	8:56	28	0:50	22	37:28	26	0:48	22	21:05	 	1:09:05	 
25.	47	James Morgan	UNIVERSITY OF ALABAMA	22	7:11	26	0:48	24	37:45	42	1:22	31	22:20	 	1:09:24	 
26.	53	Kevin Laderberg	UNIVERSITY OF ALABAMA	32	7:51	31	1:14	29	39:31	37	1:15	21	20:59	 	1:10:48	 
27.	37	Jordan Wilkins	GEORGIA SOUTHERN UNIVERSITY	24	7:19	9	0:33	28	38:39	16	0:44	42	24:38	 	1:11:51	 
28.	18	Zac Adams	UNIVERSITY OF GEORGIA	4	5:58	32	1:14	35	40:51	14	0:43	39	24:03	 	1:12:48	 
29.	58	Bryan Tingley	UNIVERSITY OF ALABAMA	33	7:57	37	1:30	31	40:24	50	1:54	24	21:14	 	1:12:57	 
30.	15	Matthew Bonna	EMMANUEL COLLEGE	6	6:02	19	0:39	38	43:03	2	0:31	35	23:05	 	1:13:18	 
31.	55	Alexander Tarvardian	UNIVERSITY OF ALABAMA	37	8:11	38	1:32	34	40:50	31	0:54	29	22:05	 	1:13:31	 
32.	64	Daniel Kuyk	AUBURN UNIVERSITY	50	10:38	40	1:45	30	40:21	36	1:08	19	20:43	 	1:14:34	 
33.	6	Joseph Nease	AUBURN UNIVERSITY	20	6:54	25	0:47	36	42:21	39	1:17	37	23:22	 	1:14:39	 
34.	88	Samuel Gauspohl	GEORGIA TECH	42	9:25	42	1:55	20	37:00	33	0:59	46	25:37	 	1:14:53	 
35.	43	Alex Pawlowski	UNIVERSITY OF TENNESSEE	28	7:36	35	1:23	32	40:25	38	1:16	47	25:48	 	1:16:25	 
36.	14	David Rabern	EMMANUEL COLLEGE	13	6:21	23	0:45	42	45:52	8	0:35	33	22:56	 	1:16:27	 
37.	68	Joseph Hird	AUBURN UNIVERSITY	45	9:41	50	2:58	27	38:17	43	1:22	45	25:37	 	1:17:54	 
38.	20	Hayden Pendergraft	EMMANUEL COLLEGE	9	6:12	39	1:36	41	44:48	40	1:21	41	24:27	 	1:18:21	 
39.	67	Thomas Easley	GEORGIA TECH	47	9:53	30	1:12	37	42:56	49	1:52	38	23:23	 	1:19:15	 
40.	75	Brian Ferguson	AUBURN UNIVERSITY	51	12:05	49	2:56	33	40:49	46	1:30	40	24:20	 	1:21:37	 
