Place	Sexplc	Name	Age	Rank	Swim	Tran1	Rank	Bike	Rate	Tran2	Rank	Run	Pace	Finish	School	Clock Time	Bib#	Link
1	4	Bryful Sun	21	2	20:32	0:48	1	1:00:32	24.6	0:38	2	40:18	6:30	2:02:46	Georgia Tech	2:02:42	7	Video
2	6	Erik Wendt	21	4	24:16	0:45	3	1:05:08	22.8	0:49	1	35:16	5:41	2:06:12	Clemson University	2:19:04	151	Video
3	7	James King	21	3	20:43	0:45	4	1:06:08	22.5	0:58	4	41:35	6:42	2:10:07	Clemson University	2:10:03	19	Video
4	8	Brian Doyle	27	5	24:59	1:06	2	1:02:00	24.0	0:48	6	42:13	6:48	2:11:05	Georgia Institute of Technol	2:11:01	18	Video
5	10	Tucker McFarlane	25	1	19:59	0:56	6	1:06:39	22.3	1:33	7	43:33	7:01	2:12:39	Clemson	2:12:35	8	Video
6	12	Florian Hauer	29	6	25:17	0:52	5	1:06:37	22.3	0:49	5	41:49	6:45	2:15:23	Georgia Tech	2:15:19	23	Video
7	18	Jeff Dorrill	55	10	28:22	1:16	8	1:08:29	21.7	1:14	3	41:32	6:42	2:20:51	University of Alabama	2:20:47	43	Video
8	21	Marc Leber	20	7	25:31	0:51	7	1:07:38	22.0	0:53	10	47:34	7:40	2:22:25	Georgia Tech	2:22:21	10	Video
9	45	Ryan Williamson	22	15	34:41	1:24	9	1:11:09	20.9	0:58	8	44:31	7:10	2:32:41	Clemson University	2:38:41	68	Video
10	48	Michael Frack	21	9	27:28	1:24	10	1:12:09	20.6	1:38	13	50:42	8:10	2:33:19	Auburn University	2:39:19	82	Video
11	61	Luke Martin	20	11	28:34	2:01	12	1:15:13	19.8	0:59	12	50:41	8:10	2:37:26	University of Alabama	3:04:50	286	Video
12	64	Alexander Tarvardian	20	12	29:01	1:35	15	1:18:02	19.1	0:54	11	50:05	8:04	2:39:35	University of Alabama	2:52:27	162	Video
13	74	James Smith	21	14	34:41	2:01	13	1:15:45	19.6	1:33	9	46:42	7:32	2:40:40	Auburn University	2:46:40	105	Video
14	104	John Langley	22	8	26:53	1:01	11	1:12:23	20.6	1:14	14	1:10:20	11:20	2:51:49	University of Alabama	2:57:49	83	Video
15	129	Thomas Easley	26	13	31:38	1:33	14	1:16:32	19.4	2:08	15	1:10:49	11:25	3:02:37	Georgia Tech	3:22:49	239	Video
